iter	Passed	Remaining
0	147	147626
1	149	74487
2	150	49983
3	151	37693
4	152	30332
5	153	25432
6	154	21918
7	155	19299
8	156	17243
9	157	15594
10	158	14262
11	159	13137
12	160	12193
13	161	11378
14	162	10677
15	163	10056
16	164	9511
17	165	9023
18	166	8587
19	167	8194
20	168	7845
21	169	7526
22	170	7235
23	171	6968
24	172	6721
25	173	6492
26	174	6277
27	175	6083
28	176	5897
29	177	5725
30	178	5564
31	178	5412
32	179	5270
33	180	5135
34	181	5008
35	182	4891
36	183	4777
37	184	4671
38	185	4569
39	186	4472
40	187	4388
41	188	4308
42	190	4235
43	191	4156
44	192	4082
45	193	4015
46	194	3946
47	195	3880
48	196	3816
49	197	3755
50	198	3695
51	199	3637
52	200	3584
53	201	3533
54	202	3482
55	203	3432
56	204	3385
57	205	3341
58	206	3298
59	207	3257
60	208	3215
61	209	3176
62	211	3139
63	212	3103
64	213	3066
65	214	3030
66	215	2996
67	215	2956
68	216	2924
69	217	2893
70	218	2865
71	219	2835
72	220	2805
73	222	2778
74	223	2751
75	224	2723
76	225	2697
77	225	2671
78	227	2646
79	228	2622
80	229	2600
81	230	2576
82	231	2554
83	232	2533
84	233	2508
85	234	2488
86	234	2463
87	235	2443
88	236	2423
89	237	2404
90	238	2385
91	239	2367
92	240	2349
93	241	2331
94	242	2314
95	243	2297
96	244	2280
97	245	2263
98	247	2248
99	248	2232
100	249	2217
101	249	2197
102	250	2182
103	252	2175
104	253	2161
105	254	2147
106	255	2134
107	257	2125
108	258	2112
109	259	2099
110	260	2090
111	262	2077
112	263	2064
113	264	2052
114	265	2039
115	265	2025
116	266	2013
117	267	2002
118	268	1989
119	269	1978
120	271	1969
121	272	1958
122	272	1944
123	273	1933
124	274	1923
125	275	1912
126	276	1902
127	277	1890
128	278	1880
129	279	1870
130	280	1860
131	281	1850
132	282	1841
133	283	1831
134	285	1826
135	286	1818
136	287	1809
137	287	1798
138	288	1789
139	289	1781
140	290	1772
141	291	1764
142	293	1756
143	294	1748
144	295	1739
145	295	1731
146	296	1723
147	297	1715
148	298	1707
149	299	1699
150	301	1692
151	302	1685
152	303	1678
153	304	1670
154	305	1663
155	306	1655
156	307	1648
157	308	1641
158	309	1634
159	310	1627
160	311	1620
161	311	1613
162	312	1606
163	313	1600
164	314	1593
165	315	1586
166	316	1580
