iter	Passed	Remaining
0	164	164447
1	167	83636
2	169	56168
3	170	42348
4	171	34091
5	172	28608
6	174	24788
7	175	21823
8	177	19490
9	178	17665
10	179	16142
11	182	15002
12	183	13938
13	184	13019
14	185	12210
15	187	11502
16	188	10891
17	189	10343
18	190	9849
19	191	9400
20	193	8999
21	194	8645
22	195	8320
23	197	8021
24	198	7737
25	199	7471
26	200	7225
27	201	7009
28	203	6803
29	204	6610
30	205	6429
31	206	6255
32	207	6089
33	208	5932
34	209	5785
35	211	5659
36	213	5553
37	214	5441
38	216	5323
39	217	5221
40	220	5157
41	221	5058
42	222	4958
43	223	4861
44	224	4767
45	225	4686
46	227	4605
47	228	4527
48	229	4455
49	230	4386
50	232	4319
51	233	4251
52	234	4185
53	235	4122
54	236	4061
55	237	4000
56	238	3943
57	239	3887
58	240	3836
59	241	3786
60	242	3736
61	243	3686
62	244	3639
63	245	3594
64	246	3549
65	247	3509
66	249	3471
67	250	3434
68	251	3396
69	252	3358
70	253	3321
71	255	3288
72	256	3253
73	257	3219
74	258	3187
75	259	3156
76	260	3126
77	261	3096
78	263	3066
79	264	3036
80	265	3007
81	266	2978
82	266	2945
83	267	2917
84	268	2890
85	269	2865
86	270	2840
87	271	2815
88	272	2791
89	273	2768
90	274	2744
91	275	2723
92	277	2706
93	278	2685
94	280	2670
95	281	2650
96	282	2629
97	283	2611
98	284	2592
99	285	2573
100	286	2553
101	287	2535
102	289	2517
103	290	2501
104	291	2483
105	292	2466
106	293	2450
107	294	2435
108	295	2419
109	296	2402
110	297	2385
111	298	2370
112	299	2354
113	301	2339
114	302	2324
115	303	2309
116	303	2293
117	304	2279
118	306	2267
119	309	2269
120	310	2256
121	311	2241
122	312	2226
123	313	2216
124	314	2204
125	316	2193
126	317	2179
127	318	2166
128	319	2154
129	320	2143
130	321	2132
131	322	2122
132	323	2110
133	324	2098
134	325	2086
135	326	2074
136	327	2063
137	328	2054
138	330	2044
139	331	2033
140	332	2023
141	332	2010
142	333	1999
143	334	1990
144	335	1980
145	337	1973
146	338	1965
147	339	1955
148	340	1945
149	342	1939
150	343	1931
151	344	1922
152	345	1913
153	346	1904
154	348	1897
155	350	1893
156	351	1885
157	352	1876
158	353	1868
159	354	1859
160	354	1849
161	355	1840
162	356	1832
163	358	1825
164	359	1817
165	360	1809
166	361	1801
167	362	1793
168	363	1785
169	364	1779
170	366	1777
171	369	1779
172	372	1780
173	373	1773
174	375	1767
175	376	1760
176	377	1755
177	379	1750
178	380	1743
179	381	1736
180	382	1730
181	383	1723
182	384	1716
183	385	1709
184	386	1703
185	387	1696
186	388	1691
187	390	1685
188	391	1679
189	392	1672
190	393	1666
191	394	1661
192	395	1655
193	397	1650
194	398	1646
195	399	1640
196	402	1640
197	405	1643
198	408	1645
199	410	1641
200	411	1635
201	412	1629
202	413	1623
203	414	1617
204	415	1613
205	417	1608
206	418	1603
207	419	1598
208	420	1592
209	421	1586
210	422	1581
211	423	1575
212	425	1571
213	426	1567
214	428	1562
215	429	1557
216	430	1554
217	432	1549
218	433	1545
219	434	1540
220	435	1534
221	436	1529
222	437	1525
223	438	1520
224	440	1515
225	441	1511
226	442	1506
227	443	1500
228	444	1495
229	445	1491
230	446	1486
231	447	1481
232	448	1476
233	449	1472
234	451	1469
235	453	1469
236	455	1467
237	456	1462
238	457	1458
239	460	1459
240	462	1455
241	463	1450
242	464	1446
243	465	1442
244	466	1438
245	467	1433
246	468	1429
247	470	1426
248	471	1422
249	472	1417
250	473	1413
251	474	1409
252	475	1405
253	476	1400
254	477	1396
255	478	1391
256	479	1386
257	480	1382
258	482	1379
259	484	1377
260	485	1373
261	486	1369
262	487	1365
263	488	1362
264	489	1358
265	491	1355
266	492	1351
267	493	1346
268	494	1342
269	495	1340
270	497	1337
271	498	1333
272	499	1330
273	500	1326
274	501	1322
275	502	1319
276	503	1315
277	504	1311
278	505	1307
279	506	1303
280	507	1299
281	508	1295
282	510	1293
283	511	1289
284	512	1285
285	513	1282
286	514	1278
287	515	1275
288	516	1271
289	518	1268
290	519	1265
291	520	1261
292	521	1257
293	522	1254
294	523	1250
295	524	1248
296	526	1246
297	527	1243
298	528	1239
299	529	1236
300	530	1232
301	532	1229
302	533	1226
303	534	1223
304	535	1219
305	536	1216
306	537	1212
307	539	1211
308	541	1211
309	543	1209
310	544	1206
311	545	1203
312	547	1201
313	548	1198
314	549	1195
315	550	1192
316	552	1191
317	554	1189
318	555	1186
319	556	1183
320	557	1180
321	558	1176
322	559	1173
323	560	1170
324	562	1167
325	563	1164
326	564	1161
327	565	1158
328	566	1154
329	566	1151
330	567	1147
331	569	1144
332	570	1143
333	572	1140
334	573	1137
335	574	1134
336	575	1131
337	577	1130
338	578	1127
339	579	1124
340	580	1121
341	581	1119
342	583	1116
343	584	1114
344	585	1111
345	586	1108
346	587	1106
347	588	1103
348	590	1100
349	591	1097
350	592	1095
351	593	1092
352	594	1090
353	595	1087
354	596	1084
355	598	1081
356	599	1079
357	601	1078
358	602	1075
359	603	1072
360	604	1069
361	605	1067
362	606	1064
363	607	1062
364	608	1059
365	609	1056
366	611	1053
367	612	1051
368	613	1048
369	614	1046
370	615	1043
371	616	1040
372	617	1038
373	618	1035
374	619	1033
375	620	1030
376	622	1028
377	623	1025
378	624	1023
379	625	1020
380	626	1017
381	627	1014
382	628	1012
383	629	1009
384	630	1007
385	631	1005
386	633	1002
387	634	1000
388	635	998
389	636	996
390	638	993
391	639	991
392	640	989
393	642	987
394	643	985
395	644	983
396	645	980
397	646	978
398	647	975
399	649	973
400	650	971
401	651	968
402	652	966
403	653	963
404	654	961
405	655	958
406	656	956
407	658	954
408	660	953
409	661	951
410	662	948
411	663	946
412	664	944
413	665	942
414	667	940
415	668	937
416	669	935
417	670	933
418	671	931
419	672	928
420	673	926
421	674	923
422	675	921
423	676	918
424	677	916
425	678	913
426	679	911
427	680	909
428	681	906
429	682	904
430	683	901
431	684	899
432	684	896
433	686	894
434	688	893
435	689	891
436	690	889
437	691	887
438	692	884
439	693	882
440	694	880
441	695	878
442	696	875
443	697	873
444	698	871
445	699	868
446	700	866
447	701	864
448	702	862
449	703	860
450	704	857
451	705	855
452	706	853
453	707	851
454	708	849
455	710	847
456	711	844
457	711	842
458	712	840
459	713	837
460	714	835
461	716	833
462	717	832
463	718	830
464	719	828
465	720	826
466	721	823
467	722	821
468	724	819
469	725	817
470	725	815
471	726	813
472	728	811
473	729	809
474	730	807
475	732	806
476	733	803
477	734	801
478	735	799
479	736	797
480	737	795
481	738	793
482	739	791
483	740	789
484	741	787
485	742	784
486	743	782
487	744	781
488	746	779
489	747	777
490	748	775
491	749	773
492	750	771
493	752	770
494	753	768
495	754	766
496	755	764
497	756	762
498	758	761
499	760	760
500	761	758
501	762	756
502	763	754
503	764	752
504	766	750
505	767	748
506	768	747
507	769	744
508	770	742
509	771	741
510	772	739
511	773	737
512	776	737
513	777	735
514	778	733
515	779	731
516	781	730
517	782	728
518	784	726
519	788	728
520	790	727
521	792	725
522	793	723
523	794	721
524	795	719
525	796	717
526	797	715
527	798	713
528	799	712
529	800	710
530	801	708
531	803	706
532	804	705
533	805	703
534	807	701
535	808	699
536	809	697
537	811	696
538	812	694
539	813	692
540	814	690
541	815	689
542	816	687
543	817	685
544	819	683
545	820	682
546	821	680
547	822	678
548	823	676
549	823	674
550	825	672
551	826	670
552	827	668
553	828	666
554	829	664
555	830	662
556	831	660
557	832	659
558	833	657
559	835	656
560	836	654
561	837	652
562	838	650
563	839	648
564	840	647
565	841	645
566	842	643
567	843	641
568	844	639
569	845	637
570	846	636
571	848	634
572	849	632
573	850	630
574	851	629
575	852	627
576	853	625
577	854	623
578	855	621
579	856	620
580	857	618
581	858	616
582	859	614
583	860	612
584	860	610
585	862	609
586	863	607
587	864	605
588	865	603
589	866	602
590	867	600
591	868	598
592	869	596
593	870	595
594	871	593
595	872	591
596	873	589
597	875	588
598	876	586
599	877	585
600	878	583
601	879	581
602	880	579
603	881	578
604	882	576
605	884	574
606	885	573
607	886	571
608	887	569
609	888	567
610	889	566
611	890	564
612	891	562
613	892	561
614	893	559
615	895	557
616	896	556
617	897	554
618	898	552
619	899	551
620	900	549
